date,market,crop,price_per_quintal_inr
2026-07-01,Lasalgaon,Onion,1831.73
2026-07-02,Lasalgaon,Onion,1789.73
2026-07-03,Lasalgaon,Onion,1777.74
2026-07-04,Lasalgaon,Onion,1759.52
2026-07-05,Lasalgaon,Onion,1802.9
2026-07-06,Lasalgaon,Onion,1839.1
2026-07-07,Lasalgaon,Onion,1901.16
2026-07-08,Lasalgaon,Onion,1866.6
2026-07-09,Lasalgaon,Onion,1872.23
2026-07-10,Lasalgaon,Onion,1830.8
2026-07-11,Lasalgaon,Onion,1812.04
2026-07-12,Lasalgaon,Onion,1827.68
2026-07-13,Lasalgaon,Onion,1785.87
2026-07-14,Lasalgaon,Onion,1764.73
2026-07-15,Lasalgaon,Onion,1797.71
2026-07-16,Lasalgaon,Onion,1818.11
2026-07-17,Lasalgaon,Onion,1799.56
2026-07-18,Lasalgaon,Onion,1825.27
2026-07-19,Lasalgaon,Onion,1877.4
2026-07-20,Lasalgaon,Onion,1833.18
2026-07-21,Lasalgaon,Onion,1884.88
2026-07-22,Lasalgaon,Onion,1923.66
2026-07-23,Lasalgaon,Onion,1919.49
2026-07-24,Lasalgaon,Onion,1893.14
2026-07-25,Lasalgaon,Onion,1963.01
2026-07-26,Lasalgaon,Onion,1958.4
2026-07-27,Lasalgaon,Onion,1924.53
2026-07-28,Lasalgaon,Onion,1891.14
2026-07-29,Lasalgaon,Onion,1947.84
2026-07-30,Chennai,Onion,1975.28
2026-07-30,Bihar,Onion,2746.44	
2026-07-01,Indore,Wheat,2368.36
2026-07-02,Indore,Wheat,2382.84
2026-07-03,Indore,Wheat,2387.65
2026-07-04,Indore,Wheat,2414.31
2026-07-05,Indore,Wheat,2411.24
2026-07-06,Indore,Wheat,2416.84
2026-07-07,Indore,Wheat,2436.31
2026-07-08,Indore,Wheat,2445.24
2026-07-09,Indore,Wheat,2466.32
2026-07-10,Indore,Wheat,2473.19
2026-07-11,Indore,Wheat,2486.42
2026-07-12,Indore,Wheat,2466.71
2026-07-13,Indore,Wheat,2456.1
2026-07-14,Indore,Wheat,2448.57
2026-07-15,Indore,Wheat,2430.56
2026-07-16,Indore,Wheat,2420.2
2026-07-17,Indore,Wheat,2403.25
2026-07-18,Indore,Wheat,2395.15
2026-07-19,Indore,Wheat,2404.93
2026-07-20,Indore,Wheat,2401.18
2026-07-21,Indore,Wheat,2397.69
2026-07-22,Indore,Wheat,2386.16
2026-07-23,Indore,Wheat,2377.51
2026-07-24,Indore,Wheat,2402.34
2026-07-25,Indore,Wheat,2412.74
2026-07-26,Indore,Wheat,2421.2
2026-07-27,Indore,Wheat,2407.76
2026-07-28,Indore,Wheat,2422.21
2026-07-29,Indore,Wheat,2408.38
2026-07-30,Indore,Wheat,2405.36
2026-07-01,Nashik,Tomato,1258.32
2026-07-02,Nashik,Tomato,1260.72
2026-07-03,Nashik,Tomato,1249.84
2026-07-04,Nashik,Tomato,1259.37
2026-07-05,Nashik,Tomato,1294.23
2026-07-06,Nashik,Tomato,1318.39
2026-07-07,Nashik,Tomato,1255.04
2026-07-08,Nashik,Tomato,1160.17
2026-07-09,Nashik,Tomato,1110.65
2026-07-10,Nashik,Tomato,1053.48
2026-07-11,Nashik,Tomato,987.24
2026-07-12,Nashik,Tomato,1038.11
2026-07-13,Nashik,Tomato,1078.33
2026-07-14,Nashik,Tomato,1028.68
2026-07-15,Nashik,Tomato,1033.55
2026-07-16,Nashik,Tomato,996.85
2026-07-17,Nashik,Tomato,1043.17
2026-07-18,Nashik,Tomato,1016.59
2026-07-19,Nashik,Tomato,958.97
2026-07-20,Nashik,Tomato,898.43
2026-07-21,Nashik,Tomato,888.25
2026-07-22,Nashik,Tomato,830.29
2026-07-23,Nashik,Tomato,823.82
2026-07-24,Nashik,Tomato,867.47
2026-07-25,Nashik,Tomato,831.38
2026-07-26,Nashik,Tomato,766.47
2026-07-27,Nashik,Tomato,826.08
2026-07-28,Nashik,Tomato,807.6
2026-07-29,Nashik,Tomato,722.15
2026-07-30,Nashik,Tomato,629.68
2026-07-01,Raipur,Rice,2881.58
2026-07-02,Raipur,Rice,2894.23
2026-07-03,Raipur,Rice,2916.75
2026-07-04,Raipur,Rice,2917.08
2026-07-05,Raipur,Rice,2895.89
2026-07-06,Raipur,Rice,2893.79
2026-07-07,Raipur,Rice,2928.56
2026-07-08,Raipur,Rice,2935.3
2026-07-09,Raipur,Rice,2968.57
2026-07-10,Raipur,Rice,2995.21
2026-07-11,Raipur,Rice,2970.9
2026-07-12,Raipur,Rice,2989.15
2026-07-13,Raipur,Rice,3005.05
2026-07-14,Raipur,Rice,3012.27
2026-07-15,Raipur,Rice,3003.28
2026-07-16,Raipur,Rice,3016.73
2026-07-17,Raipur,Rice,2998.43
2026-07-18,Raipur,Rice,2999.51
2026-07-19,Raipur,Rice,3001.74
2026-07-20,Raipur,Rice,3033.97
2026-07-21,Raipur,Rice,3061.52
2026-07-22,Raipur,Rice,3052.32
2026-07-23,Raipur,Rice,3057.36
2026-07-24,Raipur,Rice,3043.07
2026-07-25,Raipur,Rice,3072.83
2026-07-26,Raipur,Rice,3100.06
2026-07-27,Raipur,Rice,3092.97
2026-07-28,Raipur,Rice,3106.31
2026-07-29,Raipur,Rice,3117.85
2026-07-30,Raipur,Rice,3102.02
date,crop,market,price_per_quintal_inr
2026-07-26,Cotton,Andhra Pradesh,8263.64
2026-07-27,Cotton,Andhra Pradesh,8418.00
2026-07-28,Cotton,Andhra Pradesh,8182.68
2026-07-26,Wheat,Indore,2380.00
2026-07-27,Wheat,Indore,2395.00
2026-07-28,Wheat,Indore,2413.11
2026-07-26,Onion,Lasalgaon,1920.00
2026-07-27,Onion,Lasalgaon,1950.00
2026-07-28,Onion,Lasalgaon,1975.28
2026-07-26,Potato,Indore,1820.00
2026-07-27,Potato,Indore,1840.00
2026-07-28,Potato,Indore,1850.00
2026-07-26,Tomato,Nashik,2150.00
2026-07-27,Tomato,Nashik,2180.00
2026-07-28,Tomato,Nashik,2200.00
